Лист,Документ,Рік,НП,Коментар
1,метрична книга,1770,,"""войсковой казеной слободы"""
2-10,сповідний розпис,1770,Безлюдовка,
10-18,сповідний розпис,,Грицевая,
18-21,метрична книга,1772,Харьков ?,
21-23,метрична книга,1770,Журавное,
23-24,метрична книга,1770,Алешня,
25,сповідний розпис,,,Покровская церковь
26-34,сповідний розпис,,Безлюдовка,
34,метрична книга,1770,местечко Соколово,
35,сповідний розпис,1771,,титул. священник Феодор Иосифов
36-49,сповідний розпис,,х. Гра** Криница,Межирицкое ведомство
49-57,сповідний розпис,1771,город Лебедин,
58,сповідний розпис,1771,слобода Лебедин,титул
59-72,сповідний розпис,1771,село Пристайлово ?,
73-84,сповідний розпис,,село Луциковка,
85-95,сповідний розпис,1772,слобода Красный кут,
96-98,сповідний розпис,1772,,свящ. Григорий Данилов Голованевской
98-103,сповідний розпис,1772,,свящ. Марк Трофимов
103-119,сповідний розпис,1772,слобода Городищанская ?,Воронежская епархия
120-134,сповідний розпис,,,Вознесенская церковь
135,екстракт сповідного розпису,,,Николаевская церковь
136-158,сповідний розпис,1772,слобода Покровская,
158-169,сповідний розпис,,слобода Покровская,
169-175,сповідний розпис,,,войсковой слободы
175-183,сповідний розпис,,,Богодуховского ведомства слободы ...
183-205,сповідний розпис,1772,слобода Сенная,
205-220,сповідний розпис,,слобода Сенная,Троецкая церковь
221-235,сповідний розпис,1772,слобода Сенная,
236-238,сповідний розпис,1772,,свящ. Каленик Лаврентиев
238-264,сповідний розпис,1772,слободы Тору ?,свящ. Илья Никитин Иляшев
265-282,сповідний розпис,,село Искрицковщина ?,церковь Великомученицы Варвары
283-288,метрична книга,1773,слобода Речки,
289-294,метрична книга,1773,слобода Речки,
295-298,метрична книга,1773,село Новомлинское,
300,метрична книга,1773,село Боровеньки,остання сторінка книги
301-313,сповідний розпис,1773,село Бобрик,
314,метрична книга,1774,село Боровеньки,
315-316,метрична книга,1774,село Боровеньки,
317-319,метрична книга,1773,,Охтирка ?
320-324,метрична книга,1773,город Ахтырка,
325-334,метрична книга,1773,город Ахтырка,
335-338,метрична книга,1773,город Ахтырка,
339,список церков,1773,,
340,доношение,,,
341-344,метрична книга,1773,город Ахтырка,
345-347,метрична книга,1773,город Ахтырка,
347-349,метрична книга,1773,,свящ. Базилевич
349-353,метрична книга,1773,село Гусинка,
353-355,метрична книга,1773,село Староивановское,
355-357,метрична книга,1773,село Журавное,
357-363,метрична книга,1773,село Чернетчина,
364-366,метрична книга,1773,село Лутищи,
366-368,метрична книга,1773,слобода Хухра,
369-372,метрична книга,1773,слобода Бакиревка,
373-377,метрична книга,1773,слобода Кириковка,
378-379,метрична книга,1773,пригородок Алешня,
379-381,метрична книга,1773,пригородок Алешня,
381-383,метрична книга,1773,пригородок Алешня,
383-385,метрична книга,1773,пригородок Алешня,
386,метрична книга,1773,,
387-389,метрична книга,1773,слобода Алешня,
390-392,метрична книга,1773,село Ясеновое,
392-395,метрична книга,1773,слобода Чупаховка,
396-398,метрична книга,1773,слобода Чупаховка,
398,метрична книга,1773,слобода Мартиновка,
399,метрична книга,1773,слобода Мартиновка,
400-403,метрична книга,1773,слобода Мартиновка,
404-405,метрична книга,1773,село Протопоповка,
406-407,метрична книга,1773,Лантратовка,
408,метрична книга,1773,,
409-411,метрична книга,1773,,Николаевская церковь
