Стор.,Тип документа,НП,Рік,Церква,Священнослужитель,Кометар
1,сповідний розпис,,,Соборная Покровская,Феодор Иванов Щербинский,
13,сповідний розпис,село Лозовеньки,1800,,,титул
14,ведомость сел и церквей,город Краснокутск,,,,
15,реестр монастырских владений,,1795,,,Полтавский уезд
16,сповідний розпис,село Битица,1783,,,титул
17,сповідний розпис,слобода Штормовая,,,,
31,сповідний розпис,слобода С**аковка,,,,
37,сповідний розпис,город ,,Рождественская,Кирил Иваницкий,титул
38,сповідний розпис,,,,Иоан Феодтов Фаворов ?,титул
39,метрична книга,слобода Редковка,1783,Покровская,,народження
49,сповідний розпис,слобода Бурлук,,,,
71,сповідний розпис,,,Николаевская,,97 дворыв
80,сповідний розпис, шанца Хорошого Яру,1776,,,Бахмутского гусарского полку
86,метрична книга,село Должик,1725 (кириличні цифри),,,титул
87,сповідний розпис,,,,,
90,сповідний розпис,слобода Олхова ?,,Успенская,,
104,сповідний розпис,слобода Белая,1776,,,Изюмская протопопия
116,сповідний розпис,город Лебедин,,,,
128,сповідний розпис,,,Преображенская,,42 двори
130,сповідний розпис,пригородок Каменный,,,,
137,сповідний розпис,,,,,Курская епархия
145,сповідний розпис,,,,,шматок сторінки
146,сповідний розпис,,,Николаевская,,остання сторінка
147,сповідний розпис,город Чугуев,,,Алексей Федотов,
160,сповідний розпис,город Чугуев,1789,,,
176,сповідний розпис,,,,,
177,сповідний розпис,Кам*** Брод,,Петропавловская,,
188,сповідний розпис,,,,,
189,сповідний розпис,село Новоиваноское ?,,Предтеченская,,
204,метрична книга,село Дерновка ?,1767,Георгиевская,,
207,метрична книга,село Мезиновка,1768,,,
210,сповідний розпис,Писаревка ?,,,,
218,шлюбні обшуки,село Писаревка,1814,,,
224,метрична книга,,,,Иоанн Сутовский?,
228,сповідний розпис,,,Покровская,Михаил,
238,сповідний розпис,село Мироновка,,Петропавловская,Иоанн Афанасьев Топольский ?,
246,сповідний розпис,,,Покровская,,
249,метрична книга,село Мерчик ?,,,,
252,сповідний розпис,слобода Генеев ?,,,,
263,сповідний розпис,,1789,Николаевская,,
267,сповідний розпис,,,,протопоп Захаржевский,
275,сповідний розпис,,,,,
283,сповідний розпис,,,,,
287,"""в консисторию доношения""",,,,,
289,сповідний розпис,село Ивановое ?,,Крестовоздвиженская,,
301,сповідний розпис,слобода Пивни ?,,,,
305,сповідний розпис,село Кадница,,,,
325,метрична книга,,1780,,,"Ахтырского ведомства, войсковой слободы"
347,сповідний розпис,""" села Ильмов"" ?",,,,
359,метрична книга,,1780,Ивановская,,
365,метрична книга,"""слободы Гусинца""",1780,,,
375,сповідний розпис,село Тростянец,,,,
383,сповідний розпис,,,,,коллежского асесора Ивана Зарудного подданные
391,список церков,,,,,
392,метрична книга,,,,,1 сторінка
393,метрична книга,,,Николаевская,Кирилл Могилевский,1 сторінка
394,метрична книга,село Богдарово,1792,,,
402,метрична книга,село Мерчик,,,,
405,метрична книга,"""местечка Водолаг""",,Преображенская,,Константиноградского уезда 
410,метрична книга,Новая Водолага ?,,,,Нововодолажской церкви
418,метрична книга,,,,,
421,метрична книга,,,,,"шлюби, смерті"
422,підписи священнослужителів,,,,,
423,сповідний розпис,,,,,остання сторінка
424,список кореспонденденції ?,,,,,
428,метрична книга,,,,Артемий Цибульников,смерті
429,метрична книга,Харьков ?,,,,
432,метрична книга,,,,Якубинский,
436,метрична книга,,,,,"шлюби, смерті"
437,сповідний розпис,село Лозо***,,,,
446,метрична книга,,,,,войсковой слободы
448,метрична книга,,1788,Николаевская,,
454,метрична книга,слобода Савинцы,1788,Вознесенская,,
473,метрична книга,,,,,шматок сторінки
474,сповідний розпис,село Малиновая,,,,
484,сповідний розпис,,,Петропавловская,,слободы козачей
500,сповідний розпис,,,,,
506,метрична книга,,,,,
507,сповідний розпис,,,Предтеченская,,
509,сповідний розпис,,,,Гамберинов,сумского духовного
519,сповідний розпис,,,великомученика Иоанна,Бацманов,
532,сповідний розпис,село Большая Ба*ка,1778,покрова пресвятой богородицы,Иоанн Берестецкий,Большая Бапка ?
546,сповідний розпис,,,,,
556,сповідний розпис,село Русская лозовая,1793,,,титул
557,сповідний розпис,,,Пятницкая,Григорий Ефремов,
569,сповідний розпис,город Золо***,,,,подгородная слободка Залуга
