№,Лист,Тип документа,НП що згадуються,Церква,Священнослужителі,Записи про,Рік ,Нотатки
1,1-19,приход/розход книга,,,,,,
2,20-23,метрична книга,"с. Боровеньки, с. Пристайлово, сл. Буровка",Покровская,Василий Никулищев,"народження, шлюб",1799,
3,23-25,метрична книга,сл. Малиновка,,,"народження, шлюб",1799,
4,25-26,метрична книга,сл. Мохнач,,,народження,1799,
5,26,метрична книга,сл. Мохнач,Николаевская,,народження,1799,
6,27-29,метрична книга,сл. Мохнач,,,"народження, шлюб",1799,
7,29-34,метрична книга,"Хотомля, Балаклея, Печенеги",,,"народження, шлюб, смерть",1799,
8,34-35,метрична книга,слобода Шеповатая ?,Варваровкая,Доброславский,народження,1799,
9,35-37,метрична книга,с. Новотроицкое,Троицкая,,смерть,1799,
10,37-38,метрична книга,с. Новотроицкое,Троицкая,Тимофей Твердохлебов,народження,1799,
11,38-40,метрична книга,д. Лантратовка,Троицкая,Иоанн Яковлев,"народження, шлюб, смерть",1799,
12,40-41,метрична книга,с. Ивановка (Ахтырской округи),Преображенская,Антоний Мартинов,"шлюб, смерть",1799,
13,41-42,метрична книга,пригородка Каменского ?,Покровская,Василий Никулищев,смерть,1799,
14,42-48,метрична книга,"с. Каменицкое, д. Катанская",,,"шлюб, смерть",1810,
15,48-52,метрична книга,сл. Петровская,Преображенская,Михаил Богуцкий,"народження, шлюб, смерть",,
16,53-59,метрична книга,сл. Котельва,Троицкая,,"шлюб, смерть",1792,
17,60-61,метрична книга,г. Лебедин,Преображенская,Феодор Залесный,"народження, шлюб, смерть",1786,
18,62-63,сповідний розпис,с. Терновое,,,,1773,
19,63-70,шлюбні обшуки,г. Славянск,Соборная воскресенская,,,1817,
20,71-78,метрична книга,"г. Белополье, с. Искрисковщина, сл. Проруб",,,"народження, шлюб, смерть",,
21,79-94,судові слухання ?,,,,,1796,
22,95-99,сповідний розпис,,,Стецковий,,,
23,99-107,сповідний розпис,с. *уяновка (Белопольская округа),,,,,
24,107-108,метрична книга,сл. Терны,,,шлюб,,
25,108-116,сповідний розпис,"с. Битица, д. Пушкаревка",,,,,
26,116-117,сповідний розпис,,,,,,
27,117-119,сповідний розпис,Куяновка,Иоанна воина,Кирилл Покровский,,,
28,119-144,сповідний розпис,Бахмутского заказа слобода ?,Предтеченская,Самуил Литвинов,,1763,
29,145-159,сповідний розпис,сл. Белолуцкая Бахмутского заказа,,,,1763,
30,159-161,сповідний розпис,,Покровская,Дмитрий Маслянников,,1763,
31,161-169,сповідний розпис,г. Купянск,Николаевская,Григорий Соболев,,,
32,169-170, ?,с. Пересечное,,Иван Григориев,,,
33,171-173,метрична книга,г. Валки,,,"народження, шлюб, смерть",,
34,174-184,сповідний розпис,сл. Стецковка,Димитриевская,,,,
35,184-185,інфо про священиків,,,,,,
36,185-187,метрична книга,с. Локня (Сумской уезд),,,"народження, шлюб, смерть",1760,
37,187-194,сповідний розпис,войсковая слобода Сумской округи,,Томашевский,,,
38,194-206,сповідний розпис,,... Богородицы,,,,
39,206-208,шлюбні обшуки,г. Белополье,Ильинская,Иван Чудновский,,1811,
40,209-227,сповідний розпис,с. Старое,Святителя Николая чудотворца (Николаевская),,,,
41,228-234,сповідний розпис,,Дмитриевская,Афанасий Заводовский,,,
42,234-238,сповідний розпис,сл. Стецковка,,,,,
43,238,титульний лист,,,,,1792,
44,239-240,реєстр сповідних розписів,г. Сумы и округа,,,,,
45,240-261,сповідний розпис,Богодуховское ведомство,Николаевская,,,,
46,262-268,сповідний розпис,с. Лютовка,св. Иоана предтечи,,,1780,
47,268-271,сповідний розпис,,,,,,
48,271-272,таблиця,сл. Штормовая,Рождество Богородицкая,Иосиф Козменков,,,
49,272,таблиця,,успения пресвятой богородицы,,,,
50,273-274,сповідний розпис,,,,,,
51,274-276,сповідний розпис,с. Могрица,Николаевская,Григорий Прожанский,,***8,
52,276,?,,,,,,
53,277-290,сповідний розпис,,Николаевская,,,,
54,291-297,сповідний розпис,сл. ?,,,,,
55,297-298,сповідний розпис,,Предтеченская,,,,
56,299-303,метрична книга,,Христорождественская,,"народження, шлюб, смерть",1798,
57,303-318,сповідний розпис,г. Волчанска подгородняя сл. Завод,,,,,
58,319,метрична книга,,,,смерть,,
59,320-321,метрична книга,с. Колупаевка,Архангельская,Евдоким Труфанов,"народження, шлюб, смерть",1776,
60,321-322,метрична книга,сл. Боровая ?,Христорождественская,Иоанн Петров,"шлюб, смерть",,
61,322-323,сповідний розпис,,,,,,
62,323-324,сповідний розпис,,,,,,
63,324-339,сповідний розпис,,Николаевская,Павел Коханов,,1769,
64,339-352,сповідний розпис,с. Бобрик,Троецкая,Мирон Григорьев,,1769,
65,353-361,сповідний розпис,с. Верхосулка,Св. великомученицы Варвары,Иоанн Карлов / Карпов,,,
66,361-366,метрична книга,с. Беловоды ?,,,"народження, шлюб, смерть",,
67,367,таблиця,,Св. великомученицы Варвары,,,,
68,368-370,метрична книга,,Георгиевская,,"народження, шлюб, смерть",1760,
69,371-372,сповідний розпис,г. Волчанска подгородняя сл. Завод,Обрезанская,Даниил Корнилиев,,1799,
70,372-373,сповідний розпис,сл. Рубежная,Успенская,Петр Логвиновский,,1799,
71,373-375,сповідний розпис,сл. Рубежная,Петропавловская,Василий Таранов,,1799,
72,375-376,сповідний розпис,сл. Рубежная,Христорождественская,Иоанн Твердохлебов,,1799,
73,377-379,сповідний розпис,сл. Писаревка,св. апостола Иякова брата Божия,Иоанн Гораин,,1799,
74,379-381,сповідний розпис,сл. Ильменя ? (Купянская округа),Дмитриевская,Елисей Лабинский,,1799,
75,381-383,сповідний розпис,сл. Андреевка,св. апостола Андрея Первозванного,Афонасий Касиянов,,1799,
76,383-384,сповідний розпис,сл. Белый Колодязь,Богородицкая,Иоанн Тищенков,,1799,
77,384-387,сповідний розпис,сл. Ивановка,Преображенская,Яков Дьяков,,1799,
78,387-388,сповідний розпис,сл. Николаевка,Николаевская,Максим Николаевич,,1799,
79,388,таблиця,,Варваровская,,,,
80,389,сповідний розпис,,Петропавловская,Яков Прокопович,,,
81,390,таблиця,,Рождествобогородицкая,"Стефан Маслов, Яков Фомин",,,
82,391-393,сповідний розпис,с. Гатище,Покровская,Димитрий Попов,,1799,
83,393,сповідний розпис,,,"Даниил Корнилиев, Иоанн Корнилиев, Тимофей Фоменков",,,
84,394,сповідний розпис,,Соборная троицкая,"Иоанн Веселовский, Федор Веселовский",,,
85,395,таблиця,,Соборная троицкая,Петр Веселовский,,,
86,396,сповідний розпис,г. Волчанск,Соборная троицкая,Яков Веселовский,,1799,
87,397-402,метрична книга,сл. Александровка,Александровская,Никита Орлежеский,народження,1799,
88,402-403,метрична книга,,,,народження,,
89,403-406,метрична книга,"сл. Мохнач, х. Артищевой, сл. Гинеевка, сл. Шелудьковка",,,"народження, шлюб, смерть",1798,
90,406-411,метрична книга,сл. Мохнач,Николаевская,,народження,1798,
91,411-416,метрична книга,Изюмская округа,,,народження,1798,
92,416-417,метрична книга,сл. Боровая,,,"шлюб, народження",1798,
93,417-418,метрична книга,(Купянской ...),,,народження,1798,
94,418,таблиця,,,Павел Терлецкий,,,
95,419-421,метрична книга,сл. Мохнач,Николаевская,Петр Кириченко,"шлюб, смерть",1798,
96,422-426,метрична книга,,,Алексей Толмачев,"народження, шлюб, сметрь",1797,
97,427-430,метрична книга,сл. Мохнач,Вознесенская,Василий Фирсов,"народження, шлюб, сметрь",1797,
98,431-432,метрична книга,,,Василий Фирсов,смерть,1798,
99,432-448,метрична книга,сл. Болаклея,Покровская,,"народження, шлюб, сметрь",1800,
100,449-453,метрична книга,сл. Александровка,Александровская,Никита Орлежеский,смерть,1798,
101,453,метрична книга,"х. Булавинский, с. Богдарово, х. Гетмановка, х. Мостовой",,,народження,,
102,454-459,метрична книга,,,,народження,1798,Старобель
103,459-465,сповідний розпис,,,"Павел Терлецкий, Стефан Венецкий, Петр Яковенков, Тимофей Молчанов",,1798,
104,465-473,сповідний розпис,с. Бранцовка,,Андрей Войцеховский,,1798,
105,473,метрична книга,,Троецкая,,народження,179*,
106,474-490,сповідний розпис,,,,,,
107,490-498,метрична книга,сл. Осинова,Успенская,Симеон Войтов,"народження, шлюб, смерть",1798,початок - №102
108,499-508,метрична книга,"с. Богдарово, х. Гетмановка, х. Дмитровка,",Нерукотворного образа Господня,Петр Столяр***,"народження, шлюб, смерть",1798,початок - №101
109,509,метрична книга,,,,шлюб,1798,Староб округа
110,510,метрична книга,с. Могрица,,Григорий ,народження,1794,
111,511-513,метрична книга,,Николаевская,Феодор Колосов,народження,1796,
112,513-520,метрична книга,сл. Городное,,,"народження, шлюб, смерть",1796,
113,520-526,метрична книга,Губаровка,Рождества пресвятой богородицы,,"народження, шлюб, смерть",1796,
114,526-534,метрична книга,с. Кручик,Воздвижения креста господня,,"народження, шлюб, смерть",1796,
115,535-537,метрична книга,"сл. Рублевка, м. Опошнее, с. Васьки",Николаевская,,"народження, шлюб, смерть",1796,
116,537-541,метрична книга,сл. Мурафа,Николаевская,,"народження, шлюб, смерть",1796,
117,542-543,метрична книга,сл. Морафа (Мурафа),Покровская,,"шлюб, смерть",1796,
118,544-548,метрична книга,сл. Морафа (Мурафа),Преображенская,,"народження, шлюб, смерть",1796,
119,549,метрична книга,,,Ковалевский,смерть,1797,
120,550-563,сповідний розпис,сл. Литвиновка,Успенская,Петр Захариев,,1796,
121,564,метрична книга,с. Пархомовка,Покровская,,народження,1796,
122,565-572,метрична книга,с. Салтовская Терновая,,,"народження, шлюб, смерть",1796,
123,573-574,реєстр сповідних розписів,,,,,1756,
