Зворот,Тип запису,Нас. пункт,Церква,Священик,Примітки
1-14,сповидний розпис,с. Кицевка,Троицкая,"свящ Феодор, пономарь Михаил",двори 7-92 + таблиця (людей 403+420)
15-29,сповидний розпис,,Успенская,,двори 80-186 + таблиця (людей 781+770)
29-31,перепис,с. Кадница,,,дворов 42 + людей 150+133
31-41,венечни пам'яти ?,Хар. повит,,,
41-46,метрична книга,с. Охочее,Троицкая,,Екатеринославская епархия Константиноградский уезд 
47-51,сповидний розпис,,Покровская,,двори 72-100 + таблиця (людей 455+390)
51-61,сповидний розпис,заштатне мисто ?,,,двори 6-47 - вийськови
61-76,сповидний розпис,,Всех святых,"свящ Феодор Вирославский, дячок Иоан Най**",двори 53-119 + таблиця (людей 1314+1251)
77-93,сповидний розпис,"х. Загро**, х. Грицынин, х. Серенков, х. Пурчилов, х. Богомолов, х. Стадное, ...",Слободская Украинская Епархия,"Пестриченко, Перекрестов, Безпалий, Федоровский, Данилевский, Безуглов",
93-94,сповидний розпис,,,,двори 117-120
94-96,сповидний розпис,,,,"двори 31-35 + ""пророка Илиї"""
96-98,сповидний розпис,Бурлук ?,,,двори 139-151
98-100,сповидний розпис,х. Штеп**,,Иоан Кирилов,двори -80
100,таблиця,,Троїцька,,таблиця (людей 437+444). 107 дворив
101,таблиця,,Святой великомученицы Варвары,,таблиця (людей 544+520). 80 дворив
102-103,сповидний розпис,,,,двори 64-69
103-113,сповидний розпис,слобода,,"Дахновский?, Краснопольский, Горович",двори 164-210
113-119,сповидний розпис,сл. Терновая,Воскресенская,,двори 219-230 + таблиця (людей 1308+1324)
119-122,сповидний розпис,,Троецкая,Ястремский,двори 71-80 + таблиця (людей 323+319)
123-133,сповидний розпис,,Всех святых,,двори 155-245
133-137,сповидний розпис,сл. Рогань,Вознесения ***,,двори 65-83
137,сповидний розпис,,Троец***,,двори 50-52
138,таблиця,,Троецкая,,таблиця (людей 289+320). 130 дворив
139,сповидний розпис,,,Илия Синявский,двори 128-130
140,метрична книга,"Терни, Бобрик",,,
141-148,сповидний розпис,м. Богодухив,Соборна Успенська,,двори 6-30. мищани. + таблиця (людей 167+171)
148-166,сповидний розпис,,Успенська,Иоан Савин,двори 48-64 + богодельня + таблиця (людей 486+416)
167-168,метрична книга,"сл. Гусинка, сл. Смородковка",,,1 сторинка МК
168-184,сповидний розпис,"сл. Алешня, х. Должик",Покровская,,двори 54-174
184-188,сповидний розпис,сл. Малиновая,Архангельская,,двори 15-117
188-191,сповидний розпис,,,,двори 64-73 ?
191-205,сповидний розпис,с. Мали Проходи,Рождества Христова,,двори 11-111
205-212,сповидний розпис,,Петропавловская,, + таблиця (людей 389+337)
212-216,сповидний розпис,,,,двори 24-40
216-218,сповидний розпис,,,,двори 11-24
218-220,сповидний розпис,,,,двори 111-127
220-241,сповидний розпис,,,,двори 5-88
241-243,метрична книга,"д. Басовка, с. Локня",,,смерти
244-256,сповидний розпис,"Ульяновка, д. Николаевка",Ильинская,,
256-260,сповидний розпис,,,,
260-261,сповидний розпис,с. Будки ?,Николаевская,,1 сторинка
261-262,сповидний розпис,,Покровская,,таблиця (людей 520+551). 101 двир
262-266,метрична книга,"сл. Терны, Бобрик, Беликовка",,,смерти
266-272,сповидний розпис,Волчанск,,,
272-278,сповидний розпис,,,,... богороди ... ?
278-284,сповидний розпис,местечко Соколово,Успенская,,
284,сповидний розпис,,,,1 сторинка. двори 7-11
285-286,сповидний розпис,,Успенская,,двори 128-130. + таблиця (людей 569+601). 130 дворив
286-304,сповидний розпис,,,,двори 72-215 (з пропуском сторинки з назвою НП?)
304-311,сповидний розпис,"слободка Бобрик, слободка Городище",Покровская,,
312-330,сповидний розпис,"слобода Терни, слободка Бобрик",,,1808 рик
330,сповидний розпис,,,,1 сторинка
331-335,сповидний розпис,,,,вийськови
335-356,сповидний розпис,Карасовка,,,
356-357,сповидний розпис,,Николаевская,,таблиця (людей 477+441). 111 дворив
358-359,сповидний розпис,,Покровская,,таблиця (людей 552+543). 122 дворив
359-360,сповидний розпис,,,,двори 229-243
360-361,сповидний розпис,,Успенская,"Голубинский, Стефановский, Наседкин",таблиця (людей 1476+1389). 369 дворив
361-364,сповидний розпис,Карасовка,,,1810 рик
364-367,сповидний розпис,,,Паяцкий,
367-379,сповидний розпис,с. Богдарово,Нерукотворного образа господня,Симеон Анисимов Кузнецов,
379,метрична книга,"с. Вырей, д. Головашевка",,,шлюб
380-385,метрична книга,,Успенская,Григорий Быленский,"народження, шлюб, смерть + таблиця"
385-393,сповидний розпис,с. Пересечное,Архангела Михаила,Григорий Дихневский ?,таблиця (людей 836+887). 209 дворив
394-406,сповидний розпис,"х. Рогозянский, х. Красноярский, х. Бурлучек",,,
406-408,сповидний розпис,,,,
408-409,сповидний розпис,,,,1 сторинка. двори 74-76
409-423,сповидний розпис,сл. Тимофеевка,Николаевская,Григорий Раевский,двори 20-65
