№,Surname,,,,стр
636,Кутовой,,,,644
637,Ковтун,,,,644
642,Третьяк,,,,645
643,Соломка,,,,645
728,Лисовол,,,,645
648,Токарь,,,,645
693,Третьяк,,,,645
657,Сторчевой,,,,645
661,Голубец,,,,645
667,Полывяный,,,,645
673,Голубец,,,,645
680,Мокриенко,,,,645
681,Москалец,,,,646
682,Полывяный,,,,646
764,Мурженко,,,,646
687,Дубовой,,,,646
691,Примак,,,,646
694,Белецкий,,,,646
696,Ковтун,,,,646
701,Березовой,,,,646
702,Москалец,,,,646
784,Соломка,,,,646
787,Рубан,,,,646
788,Ковтун,,,,646
705,Тупица,,,,646
708,Голубец,,,,646
712,Ковтун,,,,646
796,Гуцало,,,,646
797,Мазий,,,,646
798,Касич,,,,646
800,Белобровь,,,,647
720,Яценко,,,,647
805,Романов?,,,,647
722,Копыла,,,,647
726,Касич,,,,647
813,Копыла,,,,647
733,Токарь,,,,647
735,Белецкий,,,,647
737,Вошенко,,,,647
741,Голубец,,,,647
742,Полывяный,,,,647
836,Голубец,,,,647
751,Третьяк,,,,647
755,Голубец,,,,648
764,Огаренко,,,,648
765,Сыч,,,,648
855,Москалец,,,,648
768,Бабак,,,,648
773,Грушевый,,,,648
788,Соломка,,,,649
889,Москалец,,,,649
797,Токарь,,,,649
896,Кучеренко,,,,649
805,Флоровский?,,,,649
808,Москалец,,,,649
814,Мовчан,,,,649
818,Бойко,,,,649
837,Бабак,,,,650
843,Голубец,,,,650
939,Гуцало,,,,650
854,Токарь,,,,650
855,Иванов,,,,650
859,Ковтун,,,,650
952,Белобровь,,,,650
953,Задоев,,,,650
864,Токарь,,,,650
868,Бабенко,,,,650
872,Овдеенко,,,,651
875,Головань,,,,651
978,Третьяк,,,,651
980,Овдеенко,,,,651
981,Кушта,,,,651
985,Токарь,,,,651
990,Голубец,,,,651
991,Лысенков,,,,651
899,Голубец,,,,651
901,Андронко?,,,,651
997,Литвиненко,,,,651
902,Прокопец,,,,651
911,Дряпой,,,,652
915,Касич,,,,652
917,Голубец,,,,652
