Прізвище,Релігія
Адамець,Православні
Андрєєвський,Православні
Бачинський,Православні
Білозор,Православні
Білоус,Православні
Богатирчук,Православні
Бондаренко,Православні
Бридуля,Православні
Бричка,Православні
Валюх,Православні
Ванденко,Православні
Вечер,Православні
Войтовський,Православні
Гандзюк,Православні
Гацюк,Православні
Гетманюк,Православні
Гоменюк,Православні
Гончар,Православні
Гринюк,Православні
Гуменюк,Православні
Гурбач,Православні
Гурбич,Православні
Демяненко,Православні
Денисюк,Православні
Дзбановський,Православні
Довгань,Православні
Доморацький,Православні
Доморацький,Католики
Драч,Православні
Дубенко,Православні
Дубинський,Православні
Дядюра,Православні
Жуковський,Православні
Жучок,Православні
Завидний,Православні
Загнітка,Православні
Заслона,Православні
Іваненчук,Православні
Казанюк,Православні
Капустяний,Православні
Кирпа,Православні
Кислий,Православні
Кільбарг,Юдеї
Кірєєв,Православні
Коваленко,Православні
Ковальчук,Православні
Коган,Юдеї
Козачинський,Православні
Козубенко,Православні
Константиновський,Юдеї
Котвицький,Православні
Коцелюк,Православні
Крижановський,Православні
Крикун,Православні
Крутоногий,Юдеї
Кучеренко,Православні
Лагуш,Православні
Лапенюк,Православні
Левченко,Православні
Легоцький,Православні
Лисюк,Православні
Литвенюк,Православні
Лукащук,Православні
Льгоцький,Православні
Любчак,Православні
Лягоцький,Православні
Мазурик,Православні
Маковій,Православні
Матковський,Православні
Мацюк,Православні
Мельник,Православні
Мельничук,Православні
Мехтюк,Православні
Могелюк,Православні
Могилюк,Православні
Никонець,Православні
Орлов,Православні
Орлов-Настасьїн,Православні
Павлишин,Православні
Паламарчук,Православні
Палющик,Православні
Пастушенко,Православні
Пелогейченко,Православні
Перепелиця,Православні
Пересунько,Православні
Пєкарський,Католики
Полющик,Православні
Присяжнюк,Православні
Прудиус,Православні
Псяровський,Православні
Радзевіл,Православні
Радзивіл,Православні
Радолицький,Православні
Реміняка,Православні
Розізнанний,Православні
Романюк,Православні
Рудащук,Православні
Рудой,Православні
Рудь,Православні
Сажієнко,Православні
Сановський,Православні
Свинарчук,Православні
Скоропад,Православні
Скрипач,Православні
Слабоуз,Православні
Слободянюк,Православні
Соколов,Православні
Сопенюк,Православні
Степевськой,Православні
Степньовський,Православні
Стефаневич,Православні
Стеценко,Православні
Танасійчук,Православні
Таранюк,Православні
Телятник,Православні
Ткачук,Православні
Фак,Православні
Федорчук,Православні
Ходорков,Юдеї
Человійчук,Православні
Чередник,Православні
Черешня,Православні
Чернега,Православні
Шабатура,Православні
Шапіра,Юдеї
Шебатура,Православні
Шевчук,Православні
Шляховой,Православні
Шпанка,Православні
Шульга,Православні
Щепа,Православні
Юрченко,Православні
Юрчик,Православні
Яворський,Православні
Яковенко,Православні
Яковлєв,Православні
Якубенко,Православні
Ящик,Православні
